source_frame,timestamp_seconds,detected,class_name,confidence,x_center,y_center,width,height,x_min,y_min,x_max,y_max
196,3.269933,True,Squash-Line-Calling,0.316337,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
197,3.286617,True,Squash-Line-Calling,0.309513,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
198,3.303300,True,Squash-Line-Calling,0.311302,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
199,3.319983,True,Squash-Line-Calling,0.302605,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
200,3.336667,True,Squash-Line-Calling,0.290010,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
201,3.353350,True,Squash-Line-Calling,0.289241,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
202,3.370033,True,Squash-Line-Calling,0.290665,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
203,3.386717,True,Squash-Line-Calling,0.295454,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
204,3.403400,True,Squash-Line-Calling,0.296595,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
205,3.420083,True,Squash-Line-Calling,0.295938,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
206,3.436767,True,Squash-Line-Calling,0.292389,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
207,3.453450,True,Squash-Line-Calling,0.288650,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
208,3.470133,True,Squash-Line-Calling,0.296668,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
209,3.486817,True,Squash-Line-Calling,0.292622,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
210,3.503500,False,,,,,,,,,,
211,3.520183,True,Squash-Line-Calling,0.261987,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
212,3.536867,True,Squash-Line-Calling,0.252736,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
213,3.553550,True,Squash-Line-Calling,0.254025,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
214,3.570233,True,Squash-Line-Calling,0.259364,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
215,3.586917,True,Squash-Line-Calling,0.261870,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
216,3.603600,True,Squash-Line-Calling,0.267640,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
217,3.620283,True,Squash-Line-Calling,0.268453,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
218,3.636967,True,Squash-Line-Calling,0.271755,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
219,3.653650,True,Squash-Line-Calling,0.266783,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
220,3.670333,True,Squash-Line-Calling,0.269598,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
221,3.687017,True,Squash-Line-Calling,0.272946,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
222,3.703700,True,Squash-Line-Calling,0.274963,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
223,3.720383,True,Squash-Line-Calling,0.276091,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
224,3.737067,True,Squash-Line-Calling,0.276882,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
225,3.753750,True,Squash-Line-Calling,0.275835,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
226,3.770433,True,Squash-Line-Calling,0.281367,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
227,3.787117,True,Squash-Line-Calling,0.260834,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
228,3.803800,True,Squash-Line-Calling,0.272449,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
229,3.820483,True,Squash-Line-Calling,0.258026,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
230,3.837167,True,Squash-Line-Calling,0.263230,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
231,3.853850,True,Squash-Line-Calling,0.277363,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
232,3.870533,True,Squash-Line-Calling,0.273585,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
233,3.887217,True,Squash-Line-Calling,0.278758,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
234,3.903900,False,,,,,,,,,,
235,3.920583,True,Squash-Line-Calling,0.368507,644.000,661.000,8.000,6.000,640.000,658.000,648.000,664.000
236,3.937267,False,,,,,,,,,,
237,3.953950,True,Squash-Line-Calling,0.419984,608.000,686.000,8.000,8.000,604.000,682.000,612.000,690.000
238,3.970633,True,Squash-Line-Calling,0.373457,589.000,700.000,10.000,8.000,584.000,696.000,594.000,704.000
239,3.987317,True,Squash-Line-Calling,0.450259,569.000,716.000,10.000,8.000,564.000,712.000,574.000,720.000
240,4.004000,True,Squash-Line-Calling,0.281134,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
241,4.020683,True,Squash-Line-Calling,0.507239,544.000,709.000,8.000,6.000,540.000,706.000,548.000,712.000
242,4.037367,True,Squash-Line-Calling,0.365522,533.000,705.000,6.000,6.000,530.000,702.000,536.000,708.000
243,4.054050,True,Squash-Line-Calling,0.387710,520.000,702.000,8.000,8.000,516.000,698.000,524.000,706.000
244,4.070733,True,Squash-Line-Calling,0.375602,508.000,698.000,8.000,8.000,504.000,694.000,512.000,702.000
245,4.087417,True,Squash-Line-Calling,0.644693,495.000,694.000,10.000,8.000,490.000,690.000,500.000,698.000
246,4.104100,True,Squash-Line-Calling,0.594638,485.000,691.000,10.000,10.000,480.000,686.000,490.000,696.000
247,4.120783,True,Squash-Line-Calling,0.323000,484.000,686.000,8.000,8.000,480.000,682.000,488.000,690.000
248,4.137467,True,Squash-Line-Calling,0.451750,484.000,682.000,8.000,8.000,480.000,678.000,488.000,686.000
249,4.154150,True,Squash-Line-Calling,0.472817,484.000,678.000,8.000,8.000,480.000,674.000,488.000,682.000
250,4.170833,True,Squash-Line-Calling,0.267054,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
251,4.187517,True,Squash-Line-Calling,0.261941,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
252,4.204200,True,Squash-Line-Calling,0.284244,484.000,666.000,8.000,8.000,480.000,662.000,488.000,670.000
253,4.220883,True,Squash-Line-Calling,0.273783,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
